"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"1823","","","survey-likert-extra-labels","96","1730004","0.0-36.0-3.0-0.0","15044","1B","woman","","","M3 is arguing with M1","argue2","rating_causation","{""Q0"":3}","[0]","M1 started an argument with M3","M3 started an argument with M1"
"null","Beth is arguing with Kate","","html-keyboard-response","97","1732010","0.0-37.0-0.0","15044","1B","woman","","null","W3 is arguing with W1","argue1","sentence","","","",""
"1531","","","survey-likert-extra-labels","98","1733548","0.0-37.0-2.0","15044","1B","woman","","","W3 is arguing with W1","argue1","rating_volition","{""Q0"":3}","[0]","W1 wanted to argue with W3","W3 wanted to argue with W1"
"4459","","","survey-likert-extra-labels","99","1738011","0.0-37.0-3.0-0.0","15044","1B","woman","","","W3 is arguing with W1","argue1","rating_causation","{""Q0"":3}","[0]","W1 started an argument with W3","W3 started an argument with W1"
"null","Dave is playing with Kate","","html-keyboard-response","100","1740017","0.0-38.0-0.0","15044","1B","woman","","null","M3 is playing with W1","play3","sentence","","","",""
"9056","","","survey-likert-extra-labels","101","1749080","0.0-38.0-1.0-0.0","15044","1B","woman","","","M3 is playing with W1","play3","rating_causation","{""Q0"":1}","[0]","M3 asked to play with W1","W1 asked to play with M3"
"4297","","","survey-likert-extra-labels","102","1753382","0.0-38.0-2.0","15044","1B","woman","","","M3 is playing with W1","play3","rating_volition","{""Q0"":1}","[0]","M3 wanted to play with W1","W1 wanted to play with M3"
"null","Ruth is carrying Jane","","html-keyboard-response","103","1755388","0.0-39.0-0.0","15044","1B","woman","","null","W2 is carrying W4","carry","sentence","","","",""
"11658","","","survey-likert-extra-labels","104","1767053","0.0-39.0-2.0","15044","1B","woman","","","W2 is carrying W4","carry","rating_volition","{""Q0"":1}","[0]","W2 is transporting W4","W4 is transporting W2"
"9252","","","survey-likert-extra-labels","105","1776311","0.0-39.0-3.0-0.0","15044","1B","woman","","","W2 is carrying W4","carry","rating_causation","{""Q0"":5}","[0]","W2 is being moved by W4","W4 is being moved by W2"
"null","Mike is marrying Luke","","html-keyboard-response","106","1778316","0.0-40.0-0.0","15044","1B","woman","","null","M4 is marrying M2","marry2","sentence","","","",""
